"","sample","average","PDL1","group1","group2","newsample"
"1","JRpre","median_sub",146.01,"inducible","inducible","CM138"
"2","JLpre","median_sub",36.67,"inducible","inducible","CM150.post"
"3","EHpre","median_sub",37.65,"inducible","inducible","CM145.pre"
"4","EHpost","median_sub",82.8,"inducible","inducible","CM145.post"
"5","NZM22","median_sub",310.06,"inducible","inducible","NZM22"
"6","NZM42","median_sub",59.12,"inducible","inducible","NZM42"
"7","NZM12","median_sub",46.98,"inducible","inducible","NZM12"
"8","NZM15","median_sub",80.21,"inducible","inducible","NZM15"
"9","WM115","median_sub",155.35,"inducible","inducible","WM115"
"10","WM2664","median_sub",44.05,"inducible","inducible","WM2664"
"11","SKMel28","median_sub",291.86,"inducible","mid","SKMel28"
"12","JRpost","median_sub",1328.84,"constitutive","mid","CM142.post"
"13","MelRMu","median_sub",1655.11,"constitutive","mid","MelRMu"
"14","MelST","median_sub",260.46,"constitutive","mid","MelST"
"15","Hs688AT","median_sub",1050.82,"constitutive","mid","Hs688AT"
"16","KDpre","median_sub",14223.57,"constitutive","constitutive","CM143.pre"
"17","KDpost","median_sub",10393.77,"constitutive","constitutive","CM143.post"
"18","NZM9","median_sub",11600.79,"constitutive","constitutive","NZM9"
"19","NZM40","median_sub",41892.83,"constitutive","constitutive","NZM40"
"20","NZM11","median_sub",11749.13,"constitutive","constitutive","NZM11"
"21","COLO239F","median_sub",35156.76,"constitutive","constitutive","COLO239F"
"22","MM127","median_sub",26406.9,"constitutive","constitutive","MM127"
"23","MM595","median_sub",55493.47,"constitutive","constitutive","MM595"
"24","JRpre","mean_sub",193.62,"inducible","inducible","CM138"
"25","JLpre","mean_sub",62.48,"inducible","inducible","CM150.post"
"26","EHpre","mean_sub",45.73,"inducible","inducible","CM145.pre"
"27","EHpost","mean_sub",124.66,"inducible","inducible","CM145.post"
"28","NZM22","mean_sub",464.29,"inducible","inducible","NZM22"
"29","NZM42","mean_sub",78.49,"inducible","inducible","NZM42"
"30","NZM12","mean_sub",57.11,"inducible","inducible","NZM12"
"31","NZM15","mean_sub",113,"inducible","inducible","NZM15"
"32","WM115","mean_sub",176.36,"inducible","inducible","WM115"
"33","WM2664","mean_sub",55.24,"inducible","inducible","WM2664"
"34","SKMel28","mean_sub",353.84,"inducible","mid","SKMel28"
"35","JRpost","mean_sub",1698.84,"constitutive","mid","CM142.post"
"36","MelRMu","mean_sub",3430.36,"constitutive","mid","MelRMu"
"37","MelST","mean_sub",311.85,"constitutive","mid","MelST"
"38","Hs688AT","mean_sub",1332.74,"constitutive","mid","Hs688AT"
"39","KDpre","mean_sub",16594.78,"constitutive","constitutive","CM143.pre"
"40","KDpost","mean_sub",14404.04,"constitutive","constitutive","CM143.post"
"41","NZM9","mean_sub",42215.65,"constitutive","constitutive","NZM9"
"42","NZM40","mean_sub",49391.15,"constitutive","constitutive","NZM40"
"43","NZM11","mean_sub",13133.3,"constitutive","constitutive","NZM11"
"44","COLO239F","mean_sub",39880.68,"constitutive","constitutive","COLO239F"
"45","MM127","mean_sub",29459.22,"constitutive","constitutive","MM127"
"46","MM595","mean_sub",68355.55,"constitutive","constitutive","MM595"
"47","JRpre","median_ratio",1.48354086633991,"inducible","inducible","CM138"
"48","JLpre","median_ratio",1.07785066768571,"inducible","inducible","CM150.post"
"49","EHpre","median_ratio",1.15449956912471,"inducible","inducible","CM145.pre"
"50","EHpost","median_ratio",1.36222056957872,"inducible","inducible","CM145.post"
"51","NZM22","median_ratio",1.55136480839335,"inducible","inducible","NZM22"
"52","NZM42","median_ratio",1.07871331948661,"inducible","inducible","NZM42"
"53","NZM12","median_ratio",1.35201558519407,"inducible","inducible","NZM12"
"54","NZM15","median_ratio",1.44770037954901,"inducible","inducible","NZM15"
"55","WM115","median_ratio",1.83517015214236,"inducible","inducible","WM115"
"56","WM2664","median_ratio",1.26374086935696,"inducible","inducible","WM2664"
"57","SKMel28","median_ratio",2.32039449873326,"inducible","mid","SKMel28"
"58","JRpost","median_ratio",11.0304951690821,"constitutive","mid","CM142.post"
"59","MelRMu","median_ratio",4.16470678215645,"constitutive","mid","MelRMu"
"60","MelST","median_ratio",2.52843143008039,"constitutive","mid","MelST"
"61","Hs688AT","median_ratio",7.72783148729112,"constitutive","mid","Hs688AT"
"62","KDpre","median_ratio",19.1288969894721,"constitutive","constitutive","CM143.pre"
"63","KDpost","median_ratio",35.1653080007889,"constitutive","constitutive","CM143.post"
"64","NZM9","median_ratio",25.3009552138757,"constitutive","constitutive","NZM9"
"65","NZM40","median_ratio",71.6193823539328,"constitutive","constitutive","NZM40"
"66","NZM11","median_ratio",46.5763606035921,"constitutive","constitutive","NZM11"
"67","COLO239F","median_ratio",28.1825013917239,"constitutive","constitutive","COLO239F"
"68","MM127","median_ratio",28.6947037231253,"constitutive","constitutive","MM127"
"69","MM595","median_ratio",50.5013335712056,"constitutive","constitutive","MM595"
"70","JRpre","mean_ratio",1.54571589627959,"inducible","inducible","CM138"
"71","JLpre","mean_ratio",1.12350510980648,"inducible","inducible","CM150.post"
"72","EHpre","mean_ratio",1.15638465221257,"inducible","inducible","CM145.pre"
"73","EHpost","mean_ratio",1.45230579441965,"inducible","inducible","CM145.post"
"74","NZM22","mean_ratio",1.73571869998574,"inducible","inducible","NZM22"
"75","NZM42","mean_ratio",1.09817508661772,"inducible","inducible","NZM42"
"76","NZM12","mean_ratio",1.36212034747321,"inducible","inducible","NZM12"
"77","NZM15","mean_ratio",1.55588351042896,"inducible","inducible","NZM15"
"78","WM115","mean_ratio",1.71737715587374,"inducible","inducible","WM115"
"79","WM2664","mean_ratio",1.30879311308625,"inducible","inducible","WM2664"
"80","SKMel28","mean_ratio",2.49230315043651,"inducible","mid","SKMel28"
"81","JRpost","mean_ratio",12.5969690763875,"constitutive","mid","CM142.post"
"82","MelRMu","mean_ratio",5.77274118596433,"constitutive","mid","MelRMu"
"83","MelST","mean_ratio",2.64131578947368,"constitutive","mid","MelST"
"84","Hs688AT","mean_ratio",7.70729743331656,"constitutive","mid","Hs688AT"
"85","KDpre","mean_ratio",18.9941880008241,"constitutive","constitutive","CM143.pre"
"86","KDpost","mean_ratio",40.050154530174,"constitutive","constitutive","CM143.post"
"87","NZM9","mean_ratio",84.2655818540434,"constitutive","constitutive","NZM9"
"88","NZM40","mean_ratio",79.6946927329796,"constitutive","constitutive","NZM40"
"89","NZM11","mean_ratio",45.554398344472,"constitutive","constitutive","NZM11"
"90","COLO239F","mean_ratio",29.7814150861696,"constitutive","constitutive","COLO239F"
"91","MM127","mean_ratio",28.761336650458,"constitutive","constitutive","MM127"
"92","MM595","mean_ratio",54.6998004587877,"constitutive","constitutive","MM595"
